customer_id,last_purchase_date,frequency,monetary,recency,r_score,f_score,m_score,segment,clv,rfm_score
CUST000041,2023-04-03,3,1706.21,637,3,4,3,Loyal Customers,5118.63,10
CUST000042,2022-01-23,2,1256.1799999999998,1072,2,2,2,Others,2512.3599999999997,6
CUST000043,2023-09-06,1,461.84,481,3,1,1,Others,461.84,5
CUST000044,2024-01-20,3,3481.5399999999995,345,4,4,5,Champions,10444.619999999999,13
CUST000046,2024-05-08,4,2972.21,236,4,5,4,Champions,11888.84,13
CUST000047,2021-06-28,2,1041.74,1281,1,2,2,Others,2083.48,5
CUST000048,2021-12-17,1,1448.91,1109,1,1,3,Others,1448.91,5
CUST000049,2023-01-05,2,2787.6,725,2,2,4,Others,5575.2,8
CUST000050,2024-01-27,2,2551.61,338,4,2,4,Others,5103.22,10
CUST000051,2024-05-25,1,818.94,219,4,1,2,Others,818.94,7
CUST000052,2020-04-26,1,845.94,1709,1,1,2,Others,845.94,4
CUST000053,2022-07-08,3,1747.83,906,2,4,3,At Risk,5243.49,9
CUST000054,2023-08-27,3,3432.94,491,3,4,5,Loyal Customers,10298.82,12
CUST000055,2023-04-20,2,5081.799999999999,620,3,2,5,Others,10163.599999999999,10
CUST000056,2023-10-02,2,3524.29,455,3,2,5,Others,7048.58,10
CUST000058,2024-10-05,2,653.45,86,5,2,1,Others,1306.9,8
CUST000059,2023-04-14,1,1090.94,626,3,1,2,Others,1090.94,6
CUST000061,2023-01-23,1,2132.6,707,2,1,3,Others,2132.6,6
CUST000062,2024-11-03,6,7330.88,57,5,5,5,Champions,43985.28,15
CUST000063,2023-11-18,3,1049.59,408,3,4,2,Loyal Customers,3148.7699999999995,9
CUST000064,2024-12-05,4,4768.2,25,5,5,5,Champions,19072.8,15
CUST000065,2024-10-28,3,5789.6,63,5,4,5,Champions,17368.800000000003,14
CUST000066,2024-04-25,2,1385.2800000000002,249,4,2,2,Others,2770.5600000000004,8
CUST000067,2023-11-26,2,1194.12,400,3,2,2,Others,2388.24,7
CUST000068,2022-08-04,3,2212.0299999999997,879,2,4,4,At Risk,6636.089999999999,10
CUST000069,2024-05-20,5,9389.279999999999,224,4,5,5,Champions,46946.399999999994,14
CUST000070,2024-12-27,5,4275.3099999999995,3,5,5,5,Champions,21376.549999999996,15
CUST000071,2023-03-23,2,3342.51,648,3,2,5,Others,6685.02,10
CUST000072,2024-03-03,1,2241.95,302,4,1,4,Others,2241.95,9
CUST000073,2023-03-30,2,343.22,641,3,2,1,Others,686.44,6
CUST000074,2024-06-04,1,866.4,209,4,1,2,Others,866.4,7
CUST000075,2020-03-30,1,154.52,1736,1,1,1,Others,154.52,3
CUST000076,2024-06-10,3,4091.64,203,4,4,5,Champions,12274.92,13
CUST000077,2020-05-30,1,1354.95,1675,1,1,2,Others,1354.95,4
CUST000078,2021-01-21,1,110.01,1439,1,1,1,Others,110.01,3
CUST000079,2023-06-05,1,1667.46,574,3,1,3,Others,1667.46,7
CUST000080,2020-05-17,2,1909.97,1688,1,2,3,Others,3819.94,6
CUST000081,2020-06-19,1,627.27,1655,1,1,1,Others,627.27,3
CUST000082,2021-09-30,2,2852.15,1187,1,2,4,Others,5704.3,7
CUST000083,2023-08-11,2,1904.6,507,3,2,3,Others,3809.2,8
CUST000084,2020-07-25,1,97.52,1619,1,1,1,Others,97.52,3
CUST000085,2024-04-16,3,892.09,258,4,4,2,Loyal Customers,2676.27,10
CUST000086,2024-01-18,5,4715.5,347,4,5,5,Champions,23577.5,14
CUST000087,2021-06-15,2,1979.9099999999999,1294,1,2,3,Others,3959.8199999999997,6
CUST000088,2022-03-12,1,719.97,1024,2,1,2,Others,719.97,5
CUST000089,2022-07-28,1,572.88,886,2,1,1,Others,572.88,4
CUST000091,2020-12-11,1,1084.88,1480,1,1,2,Others,1084.88,4
CUST000092,2024-06-25,2,1951.92,188,4,2,3,Others,3903.84,9
CUST000093,2023-12-09,3,1841.79,387,4,4,3,Loyal Customers,5525.37,11
CUST000094,2023-06-13,1,744.4499999999999,566,3,1,2,Others,744.4499999999999,6
CUST000095,2022-06-08,2,2768.6800000000003,936,2,2,4,Others,5537.360000000001,8
CUST000096,2024-05-10,4,3970.8,234,4,5,5,Champions,15883.2,14
CUST000097,2021-11-14,1,187.32,1142,1,1,1,Others,187.32,3
CUST000098,2024-12-24,1,260.8,6,5,1,1,Others,260.8,7
CUST000099,2022-05-06,2,3654.48,969,2,2,5,Others,7308.96,9
CUST000100,2022-11-03,2,3009.45,788,2,2,4,Others,6018.9,8
CUST000101,2023-02-18,2,877.8,681,2,2,2,Others,1755.6,6
CUST000102,2024-08-06,1,2257.36,146,5,1,4,Others,2257.36,10
CUST000103,2021-08-15,2,507.27000000000004,1233,1,2,1,Others,1014.5400000000001,4
CUST000104,2024-07-03,2,330.01,180,4,2,1,Others,660.02,7
CUST000105,2024-01-02,5,2256.27,363,4,5,4,Champions,11281.35,13
CUST000107,2024-04-08,2,1749.93,266,4,2,3,Others,3499.86,9
CUST000108,2024-04-20,4,2197.3900000000003,254,4,5,3,Loyal Customers,8789.560000000001,12
CUST000109,2024-01-15,2,1468.35,350,4,2,3,Others,2936.7,9
CUST000110,2024-12-28,3,4295.11,2,5,4,5,Champions,12885.329999999998,14
CUST000112,2024-01-19,3,3123.87,346,4,4,4,Champions,9371.61,12
CUST000113,2024-02-29,1,274.9,305,4,1,1,Others,274.9,6
CUST000115,2024-09-08,3,2678.7999999999997,113,5,4,4,Champions,8036.4,13
CUST000116,2023-08-12,2,2625.76,506,3,2,4,Others,5251.52,9
CUST000119,2024-06-07,3,2686.7599999999998,206,4,4,4,Champions,8060.279999999999,12
CUST000120,2021-03-19,1,271.15,1382,1,1,1,Others,271.15,3
CUST000121,2024-11-06,4,3893.64,54,5,5,5,Champions,15574.56,15
CUST000123,2024-11-18,4,2177.04,42,5,5,3,Loyal Customers,8708.16,13
CUST000126,2022-11-09,4,1401.3300000000002,782,2,5,2,At Risk,5605.320000000001,9
CUST000127,2024-09-14,2,1912.83,107,5,2,3,Others,3825.66,10
CUST000128,2023-09-25,2,3349.1800000000003,462,3,2,5,Others,6698.360000000001,10
CUST000130,2021-05-16,1,1256.49,1324,1,1,2,Others,1256.49,4
CUST000131,2021-04-23,1,2190.8,1347,1,1,3,Others,2190.8,5
CUST000132,2020-07-27,1,792.22,1617,1,1,2,Others,792.22,4
CUST000133,2021-07-22,1,388.6,1257,1,1,1,Others,388.6,3
CUST000134,2022-12-31,2,3836.2799999999997,730,2,2,5,Others,7672.5599999999995,9
CUST000135,2024-04-08,2,1975.2599999999998,266,4,2,3,Others,3950.5199999999995,9
CUST000136,2022-03-04,1,279.22,1032,2,1,1,Others,279.22,4
CUST000137,2024-09-12,4,4680.21,109,5,5,5,Champions,18720.84,15
CUST000138,2024-12-18,6,5266.610000000001,12,5,5,5,Champions,31599.660000000003,15
CUST000139,2024-10-15,6,5451.919999999999,76,5,5,5,Champions,32711.519999999997,15
CUST000140,2024-02-07,1,1192.4,327,4,1,2,Others,1192.4,7
CUST000141,2022-07-27,3,1407.78,887,2,4,2,At Risk,4223.34,8
CUST000144,2020-01-25,1,187.45000000000002,1801,1,1,1,Others,187.45000000000002,3
CUST000145,2020-05-10,1,2450.6,1695,1,1,4,Others,2450.6,6
CUST000146,2024-09-23,3,1322.6499999999999,98,5,4,2,Loyal Customers,3967.95,11
CUST000147,2022-09-28,2,1809.56,824,2,2,3,Others,3619.12,7
CUST000148,2023-05-19,1,717.68,591,3,1,2,Others,717.68,6
CUST000149,2024-08-30,2,1207.29,122,5,2,2,Others,2414.58,9
CUST000150,2021-11-19,1,1344.06,1137,1,1,2,Others,1344.06,4
CUST000151,2023-08-17,3,2017.48,501,3,4,3,Loyal Customers,6052.4400000000005,10
CUST000152,2021-09-22,5,1370.1399999999999,1195,1,5,2,At Risk,6850.699999999999,8
CUST000153,2023-03-08,1,47.47,663,3,1,1,Others,47.47,5
CUST000154,2023-09-19,2,1307.1100000000001,468,3,2,2,Others,2614.2200000000003,7
CUST000155,2020-06-24,1,2328.5,1650,1,1,4,Others,2328.5,6
CUST000156,2024-06-22,2,1965.17,191,4,2,3,Others,3930.34,9
CUST000157,2021-03-20,2,1213.09,1381,1,2,2,Others,2426.18,5
CUST000158,2022-07-14,3,3223.99,900,2,4,4,At Risk,9671.97,10
CUST000159,2024-03-14,2,2331.69,291,4,2,4,Others,4663.38,10
CUST000160,2022-05-10,5,1889.26,965,2,5,3,At Risk,9446.3,10
CUST000161,2024-07-20,3,2333.92,163,5,4,4,Champions,7001.76,13
CUST000162,2023-10-26,1,687.48,431,3,1,1,Others,687.48,5
CUST000163,2021-01-23,1,1085.6999999999998,1437,1,1,2,Others,1085.6999999999998,4
CUST000164,2023-11-01,5,4130.08,425,3,5,5,Loyal Customers,20650.4,13
CUST000165,2023-10-03,1,765.6,454,3,1,2,Others,765.6,6
CUST000166,2023-05-21,2,2816.42,589,3,2,4,Others,5632.84,9
CUST000167,2020-11-28,1,198.17,1493,1,1,1,Others,198.17,3
CUST000168,2022-12-16,1,2254.96,745,2,1,4,Others,2254.96,7
CUST000169,2024-09-18,4,6550.09,103,5,5,5,Champions,26200.36,15
CUST000170,2023-12-26,4,4657.92,370,4,5,5,Champions,18631.68,14
CUST000171,2024-07-04,2,495.05,179,4,2,1,Others,990.1,7
CUST000172,2021-08-15,1,1681.62,1233,1,1,3,Others,1681.62,5
CUST000173,2022-11-20,1,419.5,771,2,1,1,Others,419.5,4
CUST000174,2023-09-02,2,1353.48,485,3,2,2,Others,2706.96,7
CUST000176,2022-06-04,1,488.78,940,2,1,1,Others,488.78,4
CUST000177,2024-11-23,2,1518.5,37,5,2,3,Others,3037.0,10
CUST000178,2023-12-30,2,885.05,366,4,2,2,Others,1770.1,8
CUST000179,2020-12-28,1,209.84,1463,1,1,1,Others,209.84,3
CUST000180,2024-08-05,7,5258.5599999999995,147,5,5,5,Champions,36809.92,15
CUST000183,2024-12-10,3,2230.4700000000003,20,5,4,4,Champions,6691.410000000001,13
CUST000184,2024-03-11,1,1051.84,294,4,1,2,Others,1051.84,7
CUST000185,2023-12-28,2,514.66,368,4,2,1,Others,1029.32,7
CUST000186,2020-01-10,1,986.79,1816,1,1,2,Others,986.79,4
CUST000188,2023-01-24,4,3970.52,706,2,5,5,At Risk,15882.08,12
CUST000189,2023-08-13,1,696.28,505,3,1,2,Others,696.28,6
CUST000190,2022-07-06,1,272.48,908,2,1,1,Others,272.48,4
CUST000191,2024-01-03,2,2089.62,362,4,2,3,Others,4179.24,9
CUST000192,2024-10-09,3,1845.25,82,5,4,3,Loyal Customers,5535.75,12
CUST000193,2022-05-05,2,1241.75,970,2,2,2,Others,2483.5,6
CUST000194,2022-11-05,1,865.47,786,2,1,2,Others,865.47,5
CUST000195,2023-11-26,1,810.15,400,3,1,2,Others,810.15,6
CUST000196,2020-01-25,1,650.49,1801,1,1,1,Others,650.49,3
CUST000197,2024-02-17,3,3282.5699999999997,317,4,4,4,Champions,9847.71,12
CUST000198,2022-07-01,1,582.24,913,2,1,1,Others,582.24,4
CUST000199,2024-06-15,2,1237.87,198,4,2,2,Others,2475.74,8
CUST000200,2024-10-14,5,3591.04,77,5,5,5,Champions,17955.2,15
CUST000203,2023-05-07,3,3018.48,603,3,4,4,Loyal Customers,9055.44,11
CUST000204,2022-12-06,2,3196.16,755,2,2,4,Others,6392.32,8
CUST000206,2023-08-10,2,615.55,508,3,2,1,Others,1231.1,6
CUST000207,2021-03-11,1,121.14000000000001,1390,1,1,1,Others,121.14000000000001,3
CUST000208,2023-06-17,1,433.04,562,3,1,1,Others,433.04,5
CUST000209,2024-12-12,4,4479.23,18,5,5,5,Champions,17916.92,15
CUST000210,2023-11-26,2,1569.93,400,3,2,3,Others,3139.86,8
CUST000211,2023-04-22,5,3581.44,618,3,5,5,Loyal Customers,17907.2,13
CUST000212,2020-03-10,1,122.5,1756,1,1,1,Others,122.5,3
CUST000213,2022-08-21,2,3023.46,862,2,2,4,Others,6046.92,8
CUST000214,2023-11-24,1,1090.1000000000001,402,3,1,2,Others,1090.1000000000001,6
CUST000215,2024-12-16,6,6473.56,14,5,5,5,Champions,38841.36,15
CUST000216,2020-03-02,1,1119.3600000000001,1764,1,1,2,Others,1119.3600000000001,4
CUST000217,2024-05-04,2,1410.8200000000002,240,4,2,2,Others,2821.6400000000003,8
CUST000218,2022-10-30,2,345.18,792,2,2,1,Others,690.36,5
CUST000219,2022-01-30,2,4045.88,1065,2,2,5,Others,8091.76,9
CUST000220,2023-07-19,3,3236.61,530,3,4,4,Loyal Customers,9709.83,11
CUST000222,2021-12-20,1,52.96,1106,1,1,1,Others,52.96,3
CUST000223,2024-09-02,4,3035.81,119,5,5,4,Champions,12143.24,14
CUST000224,2020-05-19,1,454.42,1686,1,1,1,Others,454.42,3
CUST000225,2020-12-01,1,482.85,1490,1,1,1,Others,482.85,3
CUST000227,2023-10-24,1,725.25,433,3,1,2,Others,725.25,6
CUST000228,2021-10-20,2,440.49,1167,1,2,1,Others,880.98,4
CUST000229,2024-05-27,3,2781.41,217,4,4,4,Champions,8344.23,12
CUST000231,2022-05-18,2,651.8299999999999,957,2,2,1,Others,1303.6599999999999,5
CUST000232,2024-06-17,3,1384.01,196,4,4,2,Loyal Customers,4152.03,10
CUST000233,2023-09-30,1,130.02,457,3,1,1,Others,130.02,5
CUST000234,2024-08-20,5,5670.5599999999995,132,5,5,5,Champions,28352.799999999996,15
CUST000235,2024-09-04,3,3947.7,117,5,4,5,Champions,11843.099999999999,14
CUST000236,2024-08-27,2,495.63,125,5,2,1,Others,991.26,8
CUST000237,2024-12-05,5,1989.81,25,5,5,3,Loyal Customers,9949.05,13
CUST000238,2024-03-31,1,576.21,274,4,1,1,Others,576.21,6
CUST000239,2023-06-17,2,5618.799999999999,562,3,2,5,Others,11237.599999999999,10
CUST000240,2023-04-19,4,3177.44,621,3,5,4,Loyal Customers,12709.76,12
CUST000241,2023-04-23,1,395.16,617,3,1,1,Others,395.16,5
CUST000242,2023-06-22,3,3519.28,557,3,4,5,Loyal Customers,10557.84,12
CUST000243,2021-06-17,1,58.64,1292,1,1,1,Others,58.64,3
CUST000244,2024-10-26,4,3450.34,65,5,5,5,Champions,13801.36,15
CUST000245,2024-09-26,2,1941.7699999999998,95,5,2,3,Others,3883.5399999999995,10
CUST000246,2024-02-03,2,988.66,331,4,2,2,Others,1977.32,8
CUST000247,2023-08-08,2,2386.2400000000002,510,3,2,4,Others,4772.4800000000005,9
CUST000248,2024-08-10,1,1534.48,142,5,1,3,Others,1534.48,9
CUST000250,2023-08-13,3,2739.2299999999996,505,3,4,4,Loyal Customers,8217.689999999999,11
CUST000251,2022-02-08,1,701.26,1056,2,1,2,Others,701.26,5
CUST000253,2022-11-07,2,1206.98,784,2,2,2,Others,2413.96,6
CUST000254,2022-12-09,1,1958.92,752,2,1,3,Others,1958.92,6
CUST000255,2022-07-02,4,4628.91,912,2,5,5,At Risk,18515.64,12
CUST000256,2022-04-23,1,389.6,982,2,1,1,Others,389.6,4
CUST000257,2022-09-09,1,20.36,843,2,1,1,Others,20.36,4
CUST000258,2021-12-23,1,1398.0500000000002,1103,1,1,2,Others,1398.0500000000002,4
CUST000259,2024-10-06,1,902.2,85,5,1,2,Others,902.2,8
CUST000260,2023-03-30,2,1280.08,641,3,2,2,Others,2560.16,7
CUST000261,2023-12-11,1,1098.56,385,4,1,2,Others,1098.56,7
CUST000264,2023-10-11,4,3330.12,446,3,5,5,Loyal Customers,13320.48,13
CUST000265,2022-10-02,1,1262.4,820,2,1,2,Others,1262.4,5
CUST000266,2023-04-07,1,976.62,633,3,1,2,Others,976.62,6
CUST000267,2021-12-11,2,3016.3399999999997,1115,1,2,4,Others,6032.679999999999,7
CUST000268,2023-11-19,3,2873.92,407,3,4,4,Loyal Customers,8621.76,11
CUST000269,2023-08-06,2,1481.4699999999998,512,3,2,3,Others,2962.9399999999996,8
CUST000270,2023-01-05,3,1410.52,725,2,4,2,At Risk,4231.5599999999995,8
CUST000272,2023-04-03,2,1481.3,637,3,2,3,Others,2962.6,8
CUST000274,2022-06-30,1,1006.2,914,2,1,2,Others,1006.2,5
CUST000275,2024-08-16,2,933.1,136,5,2,2,Others,1866.2,9
CUST000276,2022-11-19,1,394.9,772,2,1,1,Others,394.9,4
CUST000277,2024-11-09,2,686.53,51,5,2,1,Others,1373.06,8
CUST000278,2024-05-12,6,4120.64,232,4,5,5,Champions,24723.840000000004,14
CUST000279,2022-05-18,2,4943.0,957,2,2,5,Others,9886.0,9
CUST000280,2022-04-09,2,3571.65,996,2,2,5,Others,7143.3,9
CUST000281,2024-07-03,2,558.97,180,4,2,1,Others,1117.94,7
CUST000282,2024-03-27,3,3725.8199999999997,278,4,4,5,Champions,11177.46,13
CUST000283,2020-12-29,1,744.36,1462,1,1,2,Others,744.36,4
CUST000284,2024-04-13,2,1441.8999999999999,261,4,2,3,Others,2883.7999999999997,9
CUST000285,2024-09-17,4,3619.86,104,5,5,5,Champions,14479.44,15
CUST000287,2023-07-08,1,2137.2,541,3,1,3,Others,2137.2,7
CUST000289,2024-04-23,3,2387.0,251,4,4,4,Champions,7161.0,12
CUST000290,2021-05-23,1,1679.31,1317,1,1,3,Others,1679.31,5
CUST000291,2024-04-14,1,271.70000000000005,260,4,1,1,Others,271.70000000000005,6
CUST000292,2024-09-04,3,1301.21,117,5,4,2,Loyal Customers,3903.63,11
CUST000293,2024-01-30,3,3288.93,335,4,4,4,Champions,9866.789999999999,12
CUST000294,2022-07-11,3,2156.1800000000003,903,2,4,3,At Risk,6468.540000000001,9
CUST000295,2022-06-24,4,5215.47,920,2,5,5,At Risk,20861.88,12
CUST000296,2024-06-03,2,1070.94,210,4,2,2,Others,2141.88,8
CUST000297,2021-06-24,2,1299.2100000000003,1285,1,2,2,Others,2598.4200000000005,5
CUST000302,2020-11-06,1,313.53000000000003,1515,1,1,1,Others,313.53000000000003,3
CUST000304,2021-07-02,2,3150.55,1277,1,2,4,Others,6301.1,7
CUST000305,2023-07-28,1,2053.24,521,3,1,3,Others,2053.24,7
CUST000306,2024-01-18,3,2738.03,347,4,4,4,Champions,8214.09,12
CUST000307,2023-06-24,1,1617.2,555,3,1,3,Others,1617.2,7
CUST000310,2022-12-26,1,1544.12,735,2,1,3,Others,1544.12,6
CUST000311,2022-11-07,3,1632.92,784,2,4,3,At Risk,4898.76,9
CUST000312,2023-01-11,3,2469.68,719,2,4,4,At Risk,7409.039999999999,10
CUST000313,2023-08-17,3,3433.04,501,3,4,5,Loyal Customers,10299.119999999999,12
CUST000314,2021-04-25,1,78.75,1345,1,1,1,Others,78.75,3
CUST000315,2022-04-24,1,404.15,981,2,1,1,Others,404.15,4
CUST000316,2023-09-14,1,2745.9500000000003,473,3,1,4,Others,2745.9500000000003,8
CUST000317,2023-12-31,3,2514.99,365,4,4,4,Champions,7544.969999999999,12
CUST000318,2022-07-18,1,1301.4,896,2,1,2,Others,1301.4,5
CUST000320,2022-02-14,1,1042.56,1050,2,1,2,Others,1042.56,5
CUST000321,2020-08-06,1,825.64,1607,1,1,2,Others,825.64,4
CUST000322,2022-09-02,2,1119.3400000000001,850,2,2,2,Others,2238.6800000000003,6
CUST000323,2021-02-19,1,467.64,1410,1,1,1,Others,467.64,3
CUST000325,2023-08-22,3,6037.42,496,3,4,5,Loyal Customers,18112.260000000002,12
CUST000326,2023-06-28,4,3074.88,551,3,5,4,Loyal Customers,12299.52,12
CUST000327,2022-11-04,1,1208.01,787,2,1,2,Others,1208.01,5
CUST000328,2023-05-20,3,4678.63,590,3,4,5,Loyal Customers,14035.89,12
CUST000329,2022-06-26,1,52.18,918,2,1,1,Others,52.18,4
CUST000331,2024-03-27,7,4289.85,278,4,5,5,Champions,30028.950000000004,14
CUST000332,2021-09-10,1,994.5,1207,1,1,2,Others,994.5,4
CUST000333,2022-08-19,2,1197.35,864,2,2,2,Others,2394.7,6
CUST000334,2024-01-08,1,45.3,357,4,1,1,Others,45.3,6
CUST000335,2024-10-19,5,2136.78,72,5,5,3,Loyal Customers,10683.900000000001,13
CUST000336,2023-07-04,1,2334.6,545,3,1,4,Others,2334.6,8
CUST000337,2023-11-01,1,817.5899999999999,425,3,1,2,Others,817.5899999999999,6
CUST000338,2023-11-11,2,1141.73,415,3,2,2,Others,2283.46,7
CUST000339,2024-12-28,5,5483.34,2,5,5,5,Champions,27416.7,15
CUST000340,2024-11-25,6,5074.12,35,5,5,5,Champions,30444.72,15
CUST000341,2024-06-29,3,2619.08,184,4,4,4,Champions,7857.24,12
CUST000342,2022-10-01,3,1596.1599999999999,821,2,4,3,At Risk,4788.48,9
CUST000343,2024-02-27,3,3886.94,307,4,4,5,Champions,11660.82,13
CUST000344,2024-03-08,2,819.5799999999999,297,4,2,2,Others,1639.1599999999999,8
CUST000345,2024-07-09,2,489.84000000000003,174,5,2,1,Others,979.6800000000001,8
CUST000346,2021-05-17,1,1886.75,1323,1,1,3,Others,1886.75,5
CUST000348,2024-09-29,3,1360.93,92,5,4,2,Loyal Customers,4082.79,11
CUST000349,2020-11-02,1,2311.0,1519,1,1,4,Others,2311.0,6
CUST000350,2023-11-14,1,692.62,412,3,1,1,Others,692.62,5
CUST000351,2024-09-30,1,101.60999999999999,91,5,1,1,Others,101.60999999999999,7
CUST000352,2024-10-19,3,3122.62,72,5,4,4,Champions,9367.86,13
CUST000353,2024-03-02,4,5376.55,303,4,5,5,Champions,21506.2,14
CUST000354,2024-11-24,3,2707.14,36,5,4,4,Champions,8121.42,13
CUST000356,2020-04-27,1,898.96,1708,1,1,2,Others,898.96,4
CUST000357,2024-04-13,3,1191.14,261,4,4,2,Loyal Customers,3573.42,10
CUST000359,2021-07-19,1,1172.34,1260,1,1,2,Others,1172.34,4
CUST000360,2024-09-25,3,1982.1200000000001,96,5,4,3,Loyal Customers,5946.360000000001,12
CUST000361,2023-11-26,4,5004.1,400,3,5,5,Loyal Customers,20016.4,13
CUST000362,2024-08-13,1,454.41,139,5,1,1,Others,454.41,7
CUST000363,2024-04-17,2,946.64,257,4,2,2,Others,1893.28,8
CUST000365,2020-10-30,1,589.23,1522,1,1,1,Others,589.23,3
CUST000366,2023-02-12,3,1439.09,687,2,4,3,At Risk,4317.2699999999995,9
CUST000367,2024-12-26,3,3375.46,4,5,4,5,Champions,10126.380000000001,14
CUST000368,2022-11-18,1,2367.36,773,2,1,4,Others,2367.36,7
CUST000369,2022-05-05,4,3015.02,970,2,5,4,At Risk,12060.08,11
CUST000370,2024-12-11,1,392.74,19,5,1,1,Others,392.74,7
CUST000372,2020-02-10,1,438.65000000000003,1785,1,1,1,Others,438.65000000000003,3
CUST000373,2024-10-09,5,3209.38,82,5,5,4,Champions,16046.900000000001,14
CUST000374,2022-12-07,2,733.5300000000001,754,2,2,2,Others,1467.0600000000002,6
CUST000375,2024-07-26,2,779.22,157,5,2,2,Others,1558.44,9
CUST000376,2022-03-10,1,2476.0499999999997,1026,2,1,4,Others,2476.0499999999997,7
CUST000377,2023-11-12,2,1699.0,414,3,2,3,Others,3398.0,8
CUST000378,2021-05-26,1,1800.44,1314,1,1,3,Others,1800.44,5
CUST000380,2024-02-06,2,825.6999999999999,328,4,2,2,Others,1651.3999999999999,8
CUST000381,2022-07-06,2,1018.57,908,2,2,2,Others,2037.14,6
CUST000382,2024-09-09,3,1696.8899999999999,112,5,4,3,Loyal Customers,5090.67,12
CUST000384,2022-05-07,3,3689.48,968,2,4,5,At Risk,11068.44,11
CUST000385,2022-03-05,2,2190.89,1031,2,2,3,Others,4381.78,7
CUST000386,2021-09-18,3,4784.62,1199,1,4,5,At Risk,14353.86,10
CUST000387,2024-06-11,2,4218.360000000001,202,4,2,5,Others,8436.720000000001,11
CUST000388,2022-12-24,4,4772.11,737,2,5,5,At Risk,19088.44,12
CUST000389,2024-05-26,2,1285.9,218,4,2,2,Others,2571.8,8
CUST000390,2023-08-23,3,2611.21,495,3,4,4,Loyal Customers,7833.63,11
CUST000391,2024-09-06,2,2572.71,115,5,2,4,Others,5145.42,11
CUST000393,2024-02-04,1,1690.64,330,4,1,3,Others,1690.64,8
CUST000394,2023-12-30,3,2136.7,366,4,4,3,Loyal Customers,6410.099999999999,11
CUST000396,2024-05-16,5,4163.91,228,4,5,5,Champions,20819.55,14
CUST000397,2024-12-26,1,800.06,4,5,1,2,Others,800.06,8
CUST000398,2022-03-27,2,518.4,1009,2,2,1,Others,1036.8,5
CUST000399,2024-06-30,4,1405.3600000000001,183,4,5,2,Loyal Customers,5621.4400000000005,11
CUST000400,2021-04-02,1,1454.76,1368,1,1,3,Others,1454.76,5
CUST000401,2024-08-22,2,2163.1600000000003,130,5,2,3,Others,4326.320000000001,10
CUST000402,2023-06-24,2,2050.34,555,3,2,3,Others,4100.68,8
CUST000403,2024-12-08,3,1330.71,22,5,4,2,Loyal Customers,3992.13,11
